user_id,movie_id,predicted_rating
1,1189,5.000000000000001
1,1467,5.000000000000001
1,814,5.0
1,1122,5.0
1,1201,5.0
1,1500,5.0
1,1536,5.0
1,1599,5.0
1,1653,5.0
1,1293,4.999999999999999
2,1653,5.000000000000001
2,814,5.0
2,1122,5.0
2,1189,5.0
2,1201,5.0
2,1293,5.0
2,1467,5.0
2,1536,5.0
2,1599,5.0
2,1500,4.999999999999999
3,1293,5.000000000000001
3,814,5.0
3,1122,5.0
3,1189,5.0
3,1201,5.0
3,1467,5.0
3,1500,5.0
3,1536,5.0
3,1599,5.0
3,1653,5.0
4,814,5.0
4,1122,5.0
4,1201,5.0
4,1293,5.0
4,1536,5.0
4,1599,5.0
4,1653,5.0
4,1189,4.999999999999999
4,1467,4.999999999999999
4,1500,4.999999999999999
5,814,5.0
5,1122,5.0
5,1189,5.0
5,1201,5.0
5,1293,5.0
5,1467,5.0
5,1500,5.0
5,1536,5.0
5,1599,5.0
5,1653,5.0
6,814,5.0
6,1122,5.0
6,1189,5.0
6,1201,5.0
6,1467,5.0
6,1500,5.0
6,1536,5.0
6,1599,5.0
6,1653,5.0
6,1293,4.999999999999999
7,1599,5.000000000000001
7,814,5.0
7,1122,5.0
7,1201,5.0
7,1293,5.0
7,1467,5.0
7,1536,5.0
7,1653,5.0
7,1189,4.999999999999999
7,1500,4.999999999999999
8,814,5.0
8,1122,5.0
8,1201,5.0
8,1467,5.0
8,1500,5.0
8,1536,5.0
8,1599,5.0
8,1653,5.0
8,1189,4.999999999999999
8,1293,4.999999999999999
9,1293,5.000000000000001
9,814,5.0
9,1122,5.0
9,1189,5.0
9,1201,5.0
9,1500,5.0
9,1536,5.0
9,1599,5.0
9,1653,5.0
9,1467,4.999999999999999
10,1500,5.000000000000001
10,814,5.0
10,1122,5.0
10,1189,5.0
10,1201,5.0
10,1467,5.0
10,1536,5.0
10,1599,5.0
10,1653,5.0
10,1293,4.999999999999999
11,1293,5.000000000000001
11,1467,5.000000000000001
11,1500,5.000000000000001
11,814,5.0
11,1122,5.0
11,1189,5.0
11,1201,5.0
11,1536,5.0
11,1599,5.0
11,1653,5.0
12,1189,5.000000000000001
12,1293,5.000000000000001
12,814,5.0
12,1122,5.0
12,1201,5.0
12,1467,5.0
12,1500,5.0
12,1536,5.0
